Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,Assets,BUY,SELL
4/6/2020,1936.0,1998.52,1930.02,1997.59,10757.5,---,---
4/7/2020,2017.11,2035.72,1997.62,2011.6,10827.55,---,---
4/8/2020,2021.0,2044.0,2011.15,2043.0,10984.55,---,---
4/9/2020,2044.3,2053.0,2017.66,2042.76,10983.35,---,---
4/13/2020,2040.0,2180.0,2038.0,2168.87,11613.9,---,---
4/14/2020,2200.47,2292.0,2186.21,2283.32,12186.15,---,---
4/15/2020,2257.68,2333.37,2245.0,2307.68,12307.95,---,---
4/16/2020,2346.0,2461.0,2335.0,2408.19,12810.5,---,---
4/17/2020,2372.33,2400.0,2316.02,2375.0,12644.55,---,---
4/20/2020,2389.95,2444.98,2386.05,2393.61,12737.6,---,---
4/21/2020,2416.61,2428.31,2279.66,2328.12,12410.15,---,---
4/22/2020,2369.0,2394.0,2351.0,2363.49,12587.0,---,---
4/23/2020,2399.98,2424.22,2382.08,2399.45,12766.8,---,---
4/24/2020,2417.0,2420.43,2382.0,2410.22,12820.65,---,---
4/27/2020,2443.2,2444.88,2363.0,2376.0,12649.55,---,---
4/28/2020,2372.1,2373.5,2306.0,2314.08,12339.95,---,---
4/29/2020,2330.01,2391.89,2310.0,2372.71,12633.1,---,---
4/30/2020,2419.84,2475.0,2396.01,2474.0,13139.55,---,---
5/1/2020,2336.8,2362.44,2258.19,2286.04,12199.75,---,2286.04
5/4/2020,2256.38,2326.98,2256.38,2315.99,12199.75,---,---
5/5/2020,2340.0,2351.0,2307.13,2317.8,12199.75,---,---
5/6/2020,2329.44,2357.45,2320.0,2351.26,12199.75,---,---
5/7/2020,2374.78,2376.0,2343.11,2367.61,12199.75,---,---
5/8/2020,2372.14,2387.24,2357.0,2379.61,12199.75,---,---
5/11/2020,2374.71,2419.66,2372.11,2409.0,12199.75,---,---
5/12/2020,2411.99,2419.0,2355.0,2356.95,12199.75,---,---
5/13/2020,2366.8,2407.7,2337.8,2367.92,12199.75,---,---
5/14/2020,2361.01,2391.37,2353.21,2388.85,12199.75,---,---
5/15/2020,2368.52,2411.0,2356.37,2409.78,12199.75,---,---
5/18/2020,2404.35,2433.0,2384.01,2426.26,12199.75,---,---
5/19/2020,2429.83,2484.99,2428.97,2449.33,12199.75,---,---
